formation,"quels enseignements, absents de votre formation, vous auraient ete utiles ?"
Systemes Embarques (SE - apprentissage),Gestion d'une equipe gestion des hommes gestion des problemes
Materiaux (MAT),Gestion d'equipe
Mecanique Structures Industrielles (MSI - apprentissage),Gestions de projet  Planification 
Mecanique Structures Industrielles (MSI - apprentissage),Notions sur les calculs aux seismes gestion de reunion 
Materiaux (MAT),plus de cours sur excel et sur les macros utilisation de minitab pour l'analyse de donnees
Mecanique Structures Industrielles (MSI - apprentissage),/
Systemes Embarques (SE - apprentissage),L'anglais avec un bon prof
Informatique et Gestion (IG),L'apprentissage d'un ETL ? Talend par exemple ?
Informatique et Gestion (IG),Une section Exploitation (Serveurs machines virtuels maintenance (manipulation des configuration Unix Gestion des certificats des modes de deploiement interoperabilite poussee)
Informatique et Gestion (IG),DevOps
Informatique et Gestion (IG),Notions d'Ops
Informatique et Gestion (IG),la Communication et la prise de parole devant le public car il s'agit d'un facteur majeur dans la reussite et l'evolution des nouveaux embauche au sein de leurs nouveaux emplois 
Genie Biologique et Agroalimentaires (GBA),Stage obligatoire en usine (par ex 3eme annee) 
Genie Biologique et Agroalimentaires (GBA),-
Informatique et Gestion (IG),Droits en entreprise
Mecanique Structures Industrielles (MSI - apprentissage),Art plastique 
Materiaux (MAT),Gestion de projet
Microelectronique Et Automatique (MEA),Python Management cycle en v Management agile
Microelectronique Et Automatique (MEA),telecom
Microelectronique Et Automatique (MEA),Linux
Informatique et Gestion (IG),Le cours  Tests Metriques qualite et Integration Continue  qui est maintenant dans le livret m'aurait ete tres utile dans le cadre de mon metier
Microelectronique Et Automatique (MEA),Linux/Python ROS
Microelectronique Et Automatique (MEA),formation aux systemes embarques (hardware + software) ainsi que leur role etroit avec la majeure partie des enseignements de la formation. + Travaux Pratiques (c'est en pratiquant qu'on acquiert le savoir-faire et la competence)
Microelectronique Et Automatique (MEA),Les systemes alliant electronique et mecanique sont assez nombreux. Avoir des cours sur les bases de la mecanique peut etre utile et avoir sa place dans cette formation.
Microelectronique Et Automatique (MEA),Mecanique spatiale
Materiaux (MAT),Gestion du stress Negociation Gestion de projet : planification budget... Cours de CULTURE GENERALE sur les materiaux (faire le lien entre nos cours connaitre le B-a-Ba avant d'entamer un cours tres pointu et specifique)
Microelectronique Et Automatique (MEA),Linux Intelligence artificielle
Microelectronique Et Automatique (MEA),Passage de la theorie a la pratique Application a des projets reels
Informatique et Gestion (IG),Tout ce qui touche a la livraison (Jenkins Docker etc)
Materiaux (MAT),La CAO en meca
Materiaux (MAT),Autocad et logiciels semblables
Eau et Genie Civil (EGC - apprentissage),Cours de management
Materiaux (MAT),Textile  Statistiques appliquees  Excel 
Informatique et Gestion (IG),Plus de pratique projets etc
Informatique et Gestion (IG),Decouverte differents types de Tests (fonctionnels integration ...) Architecture (SOA ...)
Genie Biologique et Agroalimentaires (GBA),La meteorologie  Le management - positionnement de soi dans l entreprise  
Materiaux (MAT),Maitrises de CAO/DAO 
Materiaux (MAT),Gestion de projet
Materiaux (MAT),Enseignement sur des eco-materiaux (bois terre...)
Informatique et Gestion (IG),.
Materiaux (MAT),Laser
Materiaux (MAT),Formation Excel complete autre que VBA.
Microelectronique Et Automatique (MEA),Des notions sur les process et methode de travail (Agile Cycle en V... dans les domaines de l'informatiques et les systemes embarques)
Materiaux (MAT),Apprentissage du langage Python
Microelectronique Et Automatique (MEA),Telecom 
Genie Biologique et Agroalimentaires (GBA),Specialisation en logistique
Genie Biologique et Agroalimentaires (GBA),Finances (analyse financiere de base) 
Genie Biologique et Agroalimentaires (GBA),Chimie approfondie
Microelectronique Et Automatique (MEA),Cours autour du theme 'comment apprendre' cours de developpement personnel cours sur l'intelligence artificielle et autres nouvelles technologies emergentes (au moins a titre informatif) cours de marketing cours de communication
Systemes Embarques (SE - apprentissage),cote gestion de projet/management methodes Agiles etc 
Genie Biologique et Agroalimentaires (GBA),Maitrise d'Excel 
Mecanique et Interactions (MI),Introduction a la production
Mecanique et Interactions (MI),Ce qu'il m'a manque etait souvent le contexte des cours. Nous suivions des matieres sans liens entre elles (enfin c'est l'impression que cela me donnait souvent). Il me manquait un fil directeur tout au long de mes etudes. Je ne savais pas ou j'allais et ce pourquoi nous etudions chaque matiere.   Il me manquait un cours d'histoire des sciences et de philosophie (voire d'ethique liee a la science).
Sciences et Technologies de l'Eau (STE),Realisation de  vrais  projets. Les projets sont parfois trop scolaires et ne Nous mettent pas en situation de travail 
Microelectronique Et Automatique (MEA),-La programmation en python qui ne m'a pas ete enseignee ni en IUT ni a polytech.  -Une initiation au machine learning et aux reseaux de neurones doit etre ajoute a la formation. elle representerait un avantage ENORME pour un etudiant qui sort de l'ecole
Microelectronique Et Automatique (MEA),RAS
Microelectronique Et Automatique (MEA),Methode Formelle
Microelectronique Et Automatique (MEA),Reseaux / Telecom (nous n'avons eu de memoire qu'un seul cours et un seul TP
Microelectronique Et Automatique (MEA),Je sais pas ou ca en est avec le swift/android mais a la place j'aurai ajoute des options pour du java/python ou meme du web. J'y connais rien en web mais ca aurait ete un + (je suis de temps en temps amene a travailler avec des gens du web et le fait de ne rien connaitre n'aide absolument pas).
Materiaux (MAT),Electronique
Informatique et Gestion (IG),Cours de developpement mobile Android
Microelectronique Et Automatique (MEA),Java
Sciences et Technologies de l'Eau (STE),Mises en situation du travail d'un ingenieur dans la vie de tous les jours.
Mecanique Structures Industrielles (MSI - apprentissage),Planification de projet et chiffrage
Mecanique Structures Industrielles (MSI - apprentissage),Gestion de projets et de l'humain
Genie Biologique et Agroalimentaires (GBA),notion de comptabilite cotisation 'lecture feuilles de salaire' etc 
Genie Biologique et Agroalimentaires (GBA),Tout ce qui est en rapport avec le commerce/ la double competence. (Je ne sais pas si mon avis est objectif vu que je suis plus attiree par la partie commerciale de l'entreprise que le technique). 
Genie Biologique et Agroalimentaires (GBA),Management 
Genie Biologique et Agroalimentaires (GBA),Ras
Genie Biologique et Agroalimentaires (GBA),Amelioration continue
Genie Biologique et Agroalimentaires (GBA),notion sur les GxP
Mecanique Structures Industrielles (MSI - apprentissage),Automatisme et regulation  Schema de chaine 
Genie Biologique et Agroalimentaires (GBA),Specialisation en qualite 
Materiaux (MAT),- L'essentiel de l'enseignement est axe sur la recherche alors que les metiers d'ingenieurs sont generalement orientes vers/pour l'industrie. Les TPs en particulier devraient davantage familiariser l'etudiant a l'environnement industriel dans sont ensemb
Microelectronique Et Automatique (MEA),Gestion de configuration ( git outil de planification ...)
Genie Biologique et Agroalimentaires (GBA),Des cours de gestion de projet management par rapport au facteur humain... 
Genie Biologique et Agroalimentaires (GBA),Cours sur les methodes d'analyses des aliments GC LC FLUO MS MS.....
Materiaux (MAT),Management de la securite 
Materiaux (MAT),lecture de plan de piece dessin industriel macro
Materiaux (MAT),-
Genie Biologique et Agroalimentaires (GBA), On devrait egalement aborder la mecanique l'automatisme la conception hygienique des equipements et faire des trvaus en partenariat avec des entreprises demandeuses. 
Materiaux (MAT),Utilise le logiciel Origin 
Microelectronique Et Automatique (MEA),Insertion en entreprise (mini stage via des partenariats avec des entreprises en local) 
Materiaux (MAT),CAO
Genie Biologique et Agroalimentaires (GBA),Notions sur la creation d'entreprise 
Informatique et Gestion (IG),Certains ingenieurs souhaitant se diriger vers la partie commerciale du metier il serait interessant de presenter par exemple le metier d'ingenieur d'affaires.
Sciences et Technologies de l'Eau (STE),Electricite et automatisme
Informatique et Gestion (IG),Reseaux
Informatique et Gestion (IG),API Management CRM
Informatique et Gestion (IG),Des cours d'architecture des systemes d'information l'utilisation de language moderne
Informatique et Gestion (IG), 
Informatique et Gestion (IG),Sass cloud
Genie Biologique et Agroalimentaires (GBA),preparation aux entretiens d'embauche redaction des CV  marketing de soi : test de personnalite etc.
Informatique et Gestion (IG),L'entreprenariat le developpement web front-end (Javascript) et back-end (PHP CMS...) le management.
Informatique et Gestion (IG),Plus de remise en question de prise de recul sur ce corps de metier et notre insertion dans ce systeme sur notre futur et potentiel impact.
Informatique et Gestion (IG),Big Data
Microelectronique Et Automatique (MEA),Deep/machine learning.
Microelectronique Et Automatique (MEA),git
Informatique et Gestion (IG),Scrum/Agilite
Informatique et Gestion (IG), commerce/avant vente
Informatique et Gestion (IG),Architecture AWS ou similaire
Informatique et Gestion (IG),Architecture d'entreprise middleware et nouvelles architectures applicatives : cloud public containers orchestration data streaming API management etc.
Informatique et Gestion (IG),Travail/Sensibilisation sur des ETL
Informatique et Gestion (IG),Deep Learning Techno Big Data comme Kafka et Spark
Microelectronique Et Automatique (MEA),L'apprentisage automatique.
Genie Biologique et Agroalimentaires (GBA),Langage VBA
Genie Biologique et Agroalimentaires (GBA),Management de personnes  Marketing (initiation)  Finance (initiation)
Sciences et Technologies de l'Eau (STE),Hydrobiologie 
Genie Biologique et Agroalimentaires (GBA),L'apprentissage
Sciences et Technologies de l'Eau (STE),Autocad
Sciences et Technologies de l'Eau (STE),Utilisation des outils de dessin industriel comme autoCAD. Plus de notion de base sur le Genie civil lie aux constructions des infrastuctures liee a l'eau. Les equipements hydrauliques contre les inondations. Visite terrain (barrage station d'epuration...).
Sciences et Technologies de l'Eau (STE),Maitrise d'oeuvre suivi des travaux.
Genie Biologique et Agroalimentaires (GBA),Actuellement seul l'option R&D permet de les methodes d'amelioration continue.  Or en production et qualite : ces methodes sont desormais indispensables pour gerer des resolutions de probleme et suivi des indicateurs de performance  
Genie Biologique et Agroalimentaires (GBA),Management de la qualite - audits - normes - certification
Materiaux (MAT),Conception modelisation des materiaux. Utiliser des outils informatiques recents similaires a ceux de l'industrie (ex: CATIA SolidWorks)
Genie Biologique et Agroalimentaires (GBA),Aucun
Informatique et Gestion (IG),Big data
Informatique et Gestion (IG),None. 
Informatique et Gestion (IG),Un peu de socio ne ferait pas de mal
Informatique et Gestion (IG),Je trouve que l'on ne sensibilise pas assez les etudiants aux vrais problemes de societes c'est a dire l'ecologie la sante. On suit le mouvement qui est actuellement en place. On ne nous oriente pas vers les vrais problemes (exemple pour les IGs on nous parle beaucoup de creation de start-up mais beaucoup d'exercices sont fait dans un but de fonctionnement de l'entreprise et pas de ce qu'elle peut apporter. Pour les GBA ils sont formes et entrent souvent dans des gros groupes qui ne se soucis pas reellement de la qualite de leur produit.) Pour resumer on se concentre plus sur le profit et pas sur ce que l'on peut apporter comme vrais solutions. Je pense donc que des cours faisant le lien entre notre cursus (informatique) et les problemes actuels (rechauffement climatique sante etc...) permettrait peut-etre a certains eleves de se rendre compte de ce qu'ils peuvent apporter.
Eau et Genie Civil (EGC - apprentissage),Management
Mecanique Structures Industrielles (MSI - apprentissage),NSP
Materiaux (MAT),Des temoignages sur la realite du marche de l'emploi sur les ingenieurs aujourd'hui la salaire en sortie d'ecole etc.. 
Genie Biologique et Agroalimentaires (GBA),Un peu de comptabilite pour comprendre le fonctionnement de l'entreprise 
Microelectronique Et Automatique (MEA),Formation sur Linux Bonne pratique de securite lors du developpement 
Materiaux (MAT),Etude du bois
Genie Biologique et Agroalimentaires (GBA),la comptabilite matiere la comptabilite en general du droit juridique 
Genie Biologique et Agroalimentaires (GBA),Ouvrir des perspectives metiers autres que seulement: la R&D la production et la QHSE... le monde professionnel est fait de plein d'autres choses ! des tables rondes autour des differents metiers accessibles apres le diplome peuvent Itre interessante. 
Microelectronique Et Automatique (MEA),L'enseignement du test autant HW que SW. Aujourd'hui le secteur de la validation recrute beaucoup par exemple 2 competences pourraient Itre approfondies via un apprentissage 2 en 1: Introduction aux methodes de test en utilisant le langage Python.
Mecanique et Interactions (MI),Statistiques sur les donnees 
Materiaux (MAT),Gestion d'entreprise comptabilite
Materiaux (MAT),Plus de contexte normatif et reglementaire
Sciences et Technologies de l'Eau (STE),Genie Civil
Sciences et Technologies de l'Eau (STE),enseignement lie  la production aquacole et l'halieutique
Genie Biologique et Agroalimentaires (GBA),gestion de tout ce qui est admisnistratid=f une fois entre dans la vie prfessionel
Mecanique Structures Industrielles (MSI - apprentissage),Cours sur le monde du travail aide  l'entretien d'embauche notions sur les salaires et les differents type de professions plus approfondis ce qui n'a pas ete aborde ou extrImement peu dans les cours de RH par exemple.
Informatique et Gestion (IG),Developpement Android (nous avions eu iOS) Management - les bases de comment gerer une equipe : les differents types de personnalites comment gerer un conflit ... 
Materiaux (MAT),Gestion de conflits en entreprise projets en lien direct avec des industriels
Microelectronique Et Automatique (MEA),Linux Python
Sciences et Technologies de l'Eau (STE),-
Genie Biologique et Agroalimentaires (GBA),Dimension management de personnes aux projets en groupe
Sciences et Technologies de l'Eau (STE),MaOtrise d'oeuvre 
Materiaux (MAT),Lecture contrat 
Sciences et Technologies de l'Eau (STE),Logiciel Autocad et SIG
Materiaux (MAT),Industrie 4.0.
Sciences et Technologies de l'Eau (STE),Initiation  la recherche scientifique (hors PIFE) etudes de cas de dimensionnement
Sciences et Technologies de l'Eau (STE),Formation AUTOCAD
Materiaux (MAT),Un cours pour apprendre  veritablement connaOtre ses appetences et aspirations professionnelles Itre guide et accompagne dans la decouvertes des diverses opportunites qui pourraient s'offrir  nous apprendre  chercher des offres (quelles sites quelles salons quels reseaux) Un cours de vulgarisation des materiaux ! Plus global qui fasse le lien entre les differents cours de culture generale sur les materiaux les grands concepts et l'historique le b.a.-ba que techniciens et ouvriers savent mais pas nous !
Materiaux (MAT),Plus de cours pour se diriger vers la prod le process. Plus de cours d'industrial engineering. Plus de cours sur les outils informatiques (Catia...)
Mecanique et Interactions (MI),Ayant vendu une formation Biomecanique (que je n'ai pas eu) des cours d'anatomie de materiau bio compatible plus de TP o  l'on est moins guide.   Un garage special mecanique avec des machines pouvant faire des projets l'eco shell challenge et d'autres. 
Mecanique et Interactions (MI),/
Mecanique Structures Industrielles (MSI - apprentissage),Formation Excel 
Mecanique et Interactions (MI),Dimensionnement des structures composites chaOne de cutes
Microelectronique Et Automatique (MEA),Impacts ecologique du secteur. 
Materiaux (MAT),Genie civil
Informatique et Gestion (IG), c oEnseigner l'esprit critique l'autonomie et la reflexivite : reveler le sens politique de la techniquec oa https://www.isf-france.org/Manifeste_pour_une_formation_citoyenne_des_ingenieur%C2%B7e%C2%B7s
Mecanique et Interactions (MI),De l'imagerie et de l'informatique (codage traitement de donnees analyses)
Mecanique et Interactions (MI),Gestion de budget et ressources/planning/technique de communication
Genie Biologique et Agroalimentaires (GBA),-etudes toxicologiques 
Informatique et Gestion (IG),Devops
Microelectronique Et Automatique (MEA),introduction  l'electronique de puissance introduction  la thermique introduction  la compatibilite electromagnetique
Materiaux (MAT),Procedes speciaux (marquage laser polissage...)
Sciences et Technologies de l'Eau (STE),Enseignements en CAO/DAO (Creation Dessin Assiste par ordinateur).
Sciences et Technologies de l'Eau (STE),Autocad comme dit plus haut
Materiaux (MAT),Une simulation reelle de recherche d'emploi. De faAon  savoir des la premiere annee ce que le marche du travail propose pour des gens de notre filliere.
Genie Biologique et Agroalimentaires (GBA),VACCP malveillance plus de codage avec un prof adapte (workflows)
Microelectronique Et Automatique (MEA),programmation Python  Micro electronique Mixed Signal 
Microelectronique Et Automatique (MEA),Les aspects de verifications statique (clock et reset domain crossing) et de DFT 
Microelectronique Et Automatique (MEA),les automatismes et l'electricite
Genie Biologique et Agroalimentaires (GBA),L'utilisation des outils informatiques  approfondir pendant les 3 annees
Microelectronique Et Automatique (MEA),Il manque des enseignements sur les methodes de travail employees dans le monde professionnel dans nos domaines de competences (approche cycle en V agile utilisation d'outils dedies comme git ou svn etc).
Systemes Embarques (SE - apprentissage),Des cours plus orientes sur l'humain la gestion des conflits des equipes
Microelectronique Et Automatique (MEA),Linux
Microelectronique Et Automatique (MEA),utilisation de linux from scratch  machine learning securite materielle.
Genie Biologique et Agroalimentaires (GBA),Application  d'autres domaines que l'agroalimentaire (cf cosmetique)
Sciences et Technologies de l'Eau (STE),Gestion des conflits Gestion du temps Fixation d'objectifs
Materiaux (MAT),Module sur les batteries 
Genie Biologique et Agroalimentaires (GBA),Management
Materiaux (MAT),Conception mecanique CAO
Genie Biologique et Agroalimentaires (GBA),Idem question 81
Genie Biologique et Agroalimentaires (GBA),Eventuellement des cours d'insertion en entreprise et un peu d'aide  l'orientation (dans le sens d'une aide  cible le secteur mais egalement le type d'entreprise / de poste que l'on souhaite occuper comment decider et comment deceler certains indicateurs relatifs  l'entreprise)
Genie Biologique et Agroalimentaires (GBA),N/A.
Mecanique et Interactions (MI),Aucun
Materiaux (MAT),Lean 
Materiaux (MAT),Fonctionnement d'une entreprise management
Mecanique et Interactions (MI),Encore d'un point de vue tres recherche on retrouve de plus en plus d'approches data-driven et aussi reduction de modeles. Il me parait bien sur capital de connaitre les methodes classiques mais il serait bien en fin de formation de passer un peu sur ces aspects. Surtout quand l'on voit la montee en puissance du data treatment machine learning etc..
Genie Biologique et Agroalimentaires (GBA),-
Informatique et Gestion (IG),Modelisation Decisionnelle
Materiaux (MAT),Management
Materiaux (MAT),Catia
Materiaux (MAT),Dessin industriel 
Mecanique Structures Industrielles (MSI - apprentissage),Strategie commerciale 
Genie Biologique et Agroalimentaires (GBA),Gerer son stress  Gerer ses priorites  Organiser son temps  
Materiaux (MAT),Projet eco-responsable ou un travail en rapport avec l'ecologie.
Informatique et Gestion (IG),Un aperAu d'au moins un ERP de preference un ERP tres utilise comme SAP (nous en avons parle mais nous n'avons jamais eu de TP pour voir  quoi Aa ressemble)
Genie Biologique et Agroalimentaires (GBA),Cours d'anglais plus soutenus
Genie Biologique et Agroalimentaires (GBA),Pourquoi ne pas proposer des visites dans des entreprises agroalimentaires ? Cela serait plus enrichissant en parallele des cours theoriques. 
Genie Biologique et Agroalimentaires (GBA),Management de projet + Marketing (approfondissement)  Notions de programmation approfondies
Mecanique et Interactions (MI),Cours sur les composites
Sciences et Technologies de l'Eau (STE),cours et vocabulaire du monde de l'exploitation les machines les outils etc...  + visites !! 
Mecanique Structures Industrielles (MSI - apprentissage),commercial
Materiaux (MAT),Coloration des materiaux plastiques (compounds)
Informatique et Gestion (IG),NSP
Sciences et Technologies de l'Eau (STE),Travailler sur des cas plus concret tel que des etudes que l'on peut Itre mene  effectuer dans un bureau d'etude
Sciences et Technologies de l'Eau (STE),Des enseignements pour integrer les marches du travail dans le domaine public notamment en environnement et en ecologie.
Materiaux (MAT),Plus de stage.  Des missions en lien avec les entreprises des projets en partenariats avec des entreprises et non pas des TP et des projets de recherche fondamentale destines aux doctorants et chercheurs uniquement. 
Genie Biologique et Agroalimentaires (GBA),Developpement durable transition ecologique et energetique surtout pour le monde industriel
Genie Biologique et Agroalimentaires (GBA),Aucun 
Microelectronique Et Automatique (MEA),-
Microelectronique Et Automatique (MEA),Developpement Durable Responsabilite Societale  Test d'un systeme d'information
Materiaux (MAT),Electrochimie
Systemes Embarques (SE - apprentissage),Aucun
Genie Biologique et Agroalimentaires (GBA),Programmation python  Physiologie des animaux (ruminants...)
Sciences et Technologies de l'Eau (STE),Genie civil
Genie Biologique et Agroalimentaires (GBA),-
Sciences et Technologies de l'Eau (STE),Donner des exemple de missions d'un ingenieurs : qu'est-ce qu'un schema directeur la maitrise d'oeuvre... 
Sciences et Technologies de l'Eau (STE),Notion de genie civil
Genie Biologique et Agroalimentaires (GBA),management
Genie Biologique et Agroalimentaires (GBA),Referentiel IFS/BRC  Analyse de risque agroalimentaire 
Materiaux (MAT),La decouverte du fonctionnement global d'une entreprise. Situer les differents pules et leurs rules pour que l'etudiant puisse mieux se situer lorsqu'il recherchera du travail.
Sciences et Technologies de l'Eau (STE),/
Materiaux (MAT),Communication vie en entreprise (tenue notamment) 
Informatique et Gestion (IG),La gestion de projet Agile une formation sur les tests (TU TDD etc)
Eau et Genie Civil (EGC - apprentissage),Gestion - Comptabilite - Formation SST
Materiaux (MAT),Comptabilite / Finance
Informatique et Gestion (IG),Aucun
Mecanique et Interactions (MI),gestion de production
Microelectronique Et Automatique (MEA),Disgn FPGA
Sciences et Technologies de l'Eau (STE),Gestion de logiciel de dessin industriel 
Materiaux (MAT),Cours sur l'electronique Cours sur l'assainissement de l'eau
Sciences et Technologies de l'Eau (STE),Outils informatiques les plus utilises en hydraulique.
Mecanique et Interactions (MI),Aucun enseignement de l'ecole proposent de l'ethique de l'ecologie et du developpement durable. Cette aspect est anormalement oublie. Les enseignements preparent bien pour les grands groupe de l'industrie beaucoup pour les petits ou la creation de start-up l'entrepreunariat. 
Sciences et Technologies de l'Eau (STE),Ethique de l'ingenieurie
Genie Biologique et Agroalimentaires (GBA),Cours sur les additifs alimentaires 
Microelectronique Et Automatique (MEA),Architecture de code
Genie Biologique et Agroalimentaires (GBA),Management des ressources humaines (equipes N-1 communication entre les secteurs...) 
Materiaux (MAT),La formation Materiaux est tres orientee R&D. Je trouve qu'il manque une partie plus industrielle comme des cours sur les procedes de fabrication l'amelioration continue la production...
Informatique et Gestion (IG),Informer les eleves quant au statut de freelance (monter son auto-entreprise gerer ses clients ses factures payer ses charges etc.)
Sciences et Technologies de l'Eau (STE),Structure des collectivites et des agences d'etat responsables des digues.
Informatique et Gestion (IG),J'en vois aucun lors de notre formation on a eu toutes les bases necessaires pour apprendre apres de nous-mIme. 
Microelectronique Et Automatique (MEA),L'utilisation de logiciels de versioning (git par exemple)
Sciences et Technologies de l'Eau (STE),management de personne
Mecanique et Interactions (MI),Management
Sciences et Technologies de l'Eau (STE),Enseignements de base en elec/automatisme seraient un plus pour une insertion pro reussie
Microelectronique Et Automatique (MEA),Des cours sur la suite Office et particulierement Excel 
Informatique et Gestion (IG),Pedagogie 
Materiaux (MAT),Un peu plus de chimie reactionnelle
Genie Biologique et Agroalimentaires (GBA),Management 
Mecanique et Interactions (MI),Process industriels analyse de mesure 3d plus d'enseignements en anglais.
Microelectronique Et Automatique (MEA),Robot parallele principe d'apprentissage automatique 
Genie Biologique et Agroalimentaires (GBA),Cours sur les macros excel
Sciences et Technologies de l'Eau (STE),Geotechnique et genie civil
Sciences et Technologies de l'Eau (STE),Autocad
Eau et Genie Civil (EGC - apprentissage),Tout enseignement specifique  la voirie (dimensionnement techniques particulieres methodes de travaux etc)
Eau et Genie Civil (EGC - apprentissage),L'economie circulaire sur les chantiers
Mecanique et Interactions (MI),Metallurgie (Phases et microstructures)
Mecanique et Interactions (MI),Developpement d'outils numeriques sur un language de programmation (Python) 
Systemes Embarques (SE - apprentissage),2eme langue
Mecanique et Interactions (MI),Aucun 
Mecanique et Interactions (MI),Anatomie
Mecanique et Interactions (MI),Production
Mecanique et Interactions (MI),Un projet de conception mecanique. 
Mecanique et Interactions (MI),Approfondir les nouvelles technologies 
Mecanique et Interactions (MI),formation plus pousse sur solidworks creo en travaillant sur des vrais projets de conception (injection plastique tulerie ..)
Eau et Genie Civil (EGC - apprentissage),- Management  - Commerce
Eau et Genie Civil (EGC - apprentissage),Une incursion vers les corps d'etats secondaires dans la construction serait un vrai plus car cela permettrait d'avoir une vue un peu plus approfondie sur l'organisation et la coordination des travaux.
Mecanique et Interactions (MI),Formation  la redaction de document scientifique
Informatique et Gestion (IG),Il serait interessant de faire une partie sur le design / UI & UX Parler de creation d'entreprise (incubateur leve de fond ecosysteme startup...)
Informatique et Gestion (IG),Securite informatique
Informatique et Gestion (IG),Architectures Web (Un peu plus que survoler le sujet 1 semaine avant les projets)
Informatique et Gestion (IG),Comment negocier un salaire afin de maximiser l'attractivite de l'ecole
Informatique et Gestion (IG),Developpement durable 
Genie Biologique et Agroalimentaires (GBA),Management d'equipe
Informatique et Gestion (IG),Des cours sur les nouvelles technologies les nouvelles tendances et avoir des supports pour pouvoir maintenir et ameliorer notre niveau et aussi des cours sur la retraite l'epargne .... 
Mecanique et Interactions (MI),Etudes de devis Etudes des marches publics et prives
Materiaux (MAT),Marketing gestion budgetaire
Sciences et Technologies de l'Eau (STE),Management Management de projet 
Sciences et Technologies de l'Eau (STE),Plus de cours sur le genie civil tout ce qui a un rapport avec les travaux
Sciences et Technologies de l'Eau (STE),Notion des Schema Directeur qui sont evoques dans de nombre BE
Sciences et Technologies de l'Eau (STE),Genie civil
Sciences et Technologies de l'Eau (STE), Aborder certains logiciels informatiques de maniere plus approfondis (HEC RAS Autocad...)
Sciences et Technologies de l'Eau (STE),Logiciel de dessin industriel sur ordinateur (autocad)
Eau et Genie Civil (EGC - apprentissage),Utilisation de logiciel de DAO
Eau et Genie Civil (EGC - apprentissage),RAS
Sciences et Technologies de l'Eau (STE),Aucuns. 
Mecanique et Interactions (MI),Python en 3ieme annee
Informatique et Gestion (IG),WebScrapping Design (interface) d'application Reseau 
Sciences et Technologies de l'Eau (STE),La legislation / reglementation meriterait de faire l'objet de cours complets
Sciences et Technologies de l'Eau (STE),Une formation en management de groupes de travail serait la bienvenue
Informatique et Gestion (IG),Aucuns
Sciences et Technologies de l'Eau (STE),Formation AutoCAD (tres tres important en bureau d'etudes !!)  
Eau et Genie Civil (EGC - apprentissage),Module environnement (norme Fr Eu methode de gestion : reconnaissance enviro et depollution de site)
Sciences et Technologies de l'Eau (STE),Genie Civil Genie Mecanique  Des bases seulement le design ne repose jamais sur nous mais de quoi comprendre le travail effectuer par d'autres entreprises hors domaine STE
Sciences et Technologies de l'Eau (STE),Microbiologie des sols
Microelectronique Et Automatique (MEA),Autres languages de programmation
Microelectronique Et Automatique (MEA),Je pense que ma formation avait couverte la majorite des enseignements electronique c'est ensuite  moi de m'approfondir plus sur ce qu'il m'interesse le plus
Microelectronique Et Automatique (MEA),Aucune formation propose sur l'apprentissage de Linux 
Microelectronique Et Automatique (MEA),Linux embarque
Microelectronique Et Automatique (MEA),Conception Hardware C++17
Microelectronique Et Automatique (MEA),Pluut des logiciels que des enseignements Exemple : le logiciel/midlleware ROS (Robot Operating System) Apres j'ai eu l'occasion de l'utiliser durant mes differents stages  Polytech 
Microelectronique Et Automatique (MEA),Automatisme
Microelectronique Et Automatique (MEA), 
Eau et Genie Civil (EGC - apprentissage),Sans avis
Microelectronique Et Automatique (MEA),Enseignements sur les aspects de la vie active (calcul des impots gestion du budget informations sur les frais reguliers tels assurances etc)
Genie Biologique et Agroalimentaires (GBA),Formation au Management 
Microelectronique Et Automatique (MEA),IoT Piloter un systeme embarque grce  une application web
Sciences et Technologies de l'Eau (STE),Genie civil et genie vegetal
Informatique et Gestion (IG),Management economie de l'entreprise (pour une vision plus transversale)
Genie Biologique et Agroalimentaires (GBA),Management des equipes  Etude de cas process production 
Microelectronique Et Automatique (MEA),python
Genie Biologique et Agroalimentaires (GBA),Processus du 'Grand Oral' synthetiser en quelques minutes 
Sciences et Technologies de l'Eau (STE),Faire des applications de l'hydraulique sur l'irrigation de culture par exemple. Le systeme d'irigation dans une exploitation agricole.
Genie Biologique et Agroalimentaires (GBA),mettre un cours de fluide industriel plus pratique (ex: demonter une pompe).
Genie Biologique et Agroalimentaires (GBA),Gestion financiere de ses revenus. ( Comment investir comprendre les principes de l'investissement etc etc) Amelioration continue (cours sur 5S PDCA etc etc) Management d'une equipe 
Genie Biologique et Agroalimentaires (GBA),Gestion de projet 
Genie Biologique et Agroalimentaires (GBA),Programmation/automatisme
Microelectronique Et Automatique (MEA),codage VBA
Genie Biologique et Agroalimentaires (GBA),Cours management Gestion de projets
Genie Biologique et Agroalimentaires (GBA),Des enseignements concernant les alternatives aux industries agroalimentaires et egalement des enseignements sur l'ecologie et l'environnement.
Microelectronique Et Automatique (MEA),Linux
Genie Biologique et Agroalimentaires (GBA),Comptabilite Finance Commerce notion
Systemes Embarques (SE - apprentissage),Fabrication de pcb
Systemes Embarques (SE - apprentissage),Cours sous forme de projet sur les systemes de communication de types USB bluetooth (BLE)... 
Systemes Embarques (SE - apprentissage),Formation sur la methode agile 
Genie Biologique et Agroalimentaires (GBA),initiation  MS project 
Sciences et Technologies de l'Eau (STE),connaissances en genie civil  (Lecture de plan AutoCAD P&ID) 
Mecanique et Interactions (MI),Aspects microstructuraux des materiaux
