formation,annee obtention du diplome,vos remarques et commentaires relatifs a votre insertion professionnelle
Sciences et Technologies de l'Eau (STE),2016,C'est complique il faut se donner a 200 % quand on souhaite travailler dans ce qui nous plait il faut parfois endurer des periodes difficiles mais ensuite ce n'est que du bonheur. Le travail finit toujours par payer.
Informatique et Gestion (IG),2016,Atypique
Informatique et Gestion (IG),2018,Super bien passe.
Informatique et Gestion (IG),2017, 
Informatique et Gestion (IG),2016,Le secteur informatique est florissant et sans frontieres et c'est un chance. Profitez de cette opportunite pour aider les futurs diplomes a trouver leur voix que ce soit en entreprise ou en tant qu'independant. Motivez les departs a l'etranger ils ne sont en aucun cas les temoins d'une 'fuite' de la formation mais plutot d'une ouverture d'esprit et d'une capacite d'adaptation.
Informatique et Gestion (IG),2016,Arreter le discours :   il faudra obligatoirement faire 5 ans de techniques avant de faire de la gestion de projet . Ce n'est pas en adequation avec le monde du travail et l'etat du marche SI (dans ma societe + 50% d'embauche sur des profils fonctionnels / pilotage et meme sur des profils jeunes diplomes)  Les alternatives existent 
Informatique et Gestion (IG),2017,Tres bien passee malgre le stresse 
Mecanique et Interactions (MI),2018,Tres bon reseau au sein de Polytech pour la diffusion des informations concernants les offres d'emploi et les sujets de these 
Microelectronique Et Automatique (MEA),2018,aucun
Informatique et Gestion (IG),2017,J'aurai aime plus de lien avec Polytech Lyon mais ils ne semblent pas interesse malgre mes nombreuses relances.
Informatique et Gestion (IG),2017,Comme dit plus haut les entreprises attendent des personnes qui comprennent vite et qui sont rapidement autonomes (une tete bien faite comme elles aiment le dire). Je ne connaissais de l'outils sur lequel je travaille actuellement (Talend). C'est un outil code en Java mes connaissances de base m'ont donc permis de prendre plus facilement en main l'outil. Je m'oriente de plus en plus faire des taches d'analyse de besoin et de chiffrage : il ne faut donc pas negliger les enseignements relatifs a ce sujet. Au debut il faut etre ouvert curieux et decouvrir vers quoi on souhaite s'orienter. Se diriger vers les technologies 'a la mode' aideront pour avancer dans le milieu et surtout permettra de se rediriger vers n'importe quelle autre entreprise/environnement (marche tres tres demandeur et porteur).
Informatique et Gestion (IG),2017,Je suis statisfait de mon insertion professionnelle et de l'enseignement que j'ai recu. La formation a couvert des sujets varies en gestion d'entreprise et informatique et cela me permet de m'orienter plus facilement dans mon parcours professionnel.
Genie Biologique et Agroalimentaires (GBA),2016,La participation de plus de personnes exterieures au monde l'enseignement ( intervenants professionnels) pourrait etre tres interessantes. 
Genie Biologique et Agroalimentaires (GBA),2016,Premier emploi difficile a trouver a cause du manque d'experience professionnelle
Sciences et Technologies de l'Eau (STE),2018,J'ai realise mon stage de fin d'etudes a l'etranger dont le but etait d'acquerir une veritable experience a l'etranger dans une compagnie internationale en vue d'integrer une multinationale par la suite. En realisant ce stage a l'etranger je m'attendais a rencontrer des difficultes lors de ma recherche d'emploi.  
Genie Biologique et Agroalimentaires (GBA),2017,J'ai eu la chance que l'entreprise ou j'ai fait mon alternance en 5ieme annee avait besoin d'une personne pour gerer les projets de developpement et notamment en ayant une approche process/produit et production. 
Materiaux (MAT),2016,L'insertion professionnelle est assez compliquee il existe de nombreuses societes de conseil en ingenierie qui peuvent proposer des postes avec peu de valeur ajoutee.. Il faut etre patient et orienter ses recherches en fonction de ses experiences. Mon VIE a l'international m'a grandement aide pour la suite de mon projet professionnel. 
Genie Biologique et Agroalimentaires (GBA),2017,Cela se passe bien ! Bonne chance aux suivants :)
Informatique et Gestion (IG),2016,Nous avons la chance de travailler dans un domaine qui ne connait pas le chomage. J'ai recu et continue de recevoir un grand nombre de solicitations suite a la publication de mon CV sur l'APEC. N'ayez pas peur d'etre exigeants avec votre employeur et pensez a toujours rester visibles sur le marche du travail.
Informatique et Gestion (IG),2018,Je m'investis beaucoup dans le travail dans lequel je suis et j'ai pu rapidement monter en competence et atteindre mes objectifs personnels (gagner en responsabilite => responsable d'application (equipe de 4-5 personnes)
Informatique et Gestion (IG),2016,De maniere generalement je trouve que les societes de service et les grands comptes qui representent la plupart des offres d'emploi vehiculent peu de valeur et d'ethique. Leur discours est souvent axe sur de possibles 'opportunites' autour de projet 'interessants' et de 'nouvelles' technologies au moyen d'une tornade de mots-clefs. La ou l'humain a l'instar de l'environnement est en realite totalement delaisse au profit... Du profit et quand l'innovation eblouie par les possibilites qu'offre la technologie est aveugle des enjeux sociaux et environnementaux. Difficile de trouver un sens dans tout ce deluge...
Informatique et Gestion (IG),2018,Pour ma part mon stage a ete ma porte d'entree. Mais je ne pense pas qu'au niveau des IGs il y ait de reels problemes d'insertion.
Materiaux (MAT),2017,Faite rapidement car stage avec perspectives d'embauche.  
Genie Biologique et Agroalimentaires (GBA),2017, la sortie de l'ecole j'ai eu une formation d'un an pour me preparer  mon futur metier.
Genie Biologique et Agroalimentaires (GBA),2017,na
Microelectronique Et Automatique (MEA),2017,Je ne sais pas si des Ipads sont toujours donnes aux etudiants mais si c'est le cas je pense que c'est une erreur. Dans ma promotion nous avons ete une grande majorite  jouer sur l'Ipad pendant les cours plutut que d'ecouter.  Je pense que les Ipads + le manque de serieux/maturite de certains est une porte ouverte  l'echec ou du moins aux lacunes.
Mecanique et Interactions (MI),2017,Elle a ete enormement faciliter et ameliorer avec l'alternance que j'ai faite ici puis  l'iae
Materiaux (MAT),2017,Conserver votre belle ouverture internationale  Polytech c'est une tres bonne clef pour l'integration pro. 
Microelectronique Et Automatique (MEA),2017,Probablement les mimes que l'an passe.
Sciences et Technologies de l'Eau (STE),2017,-
Genie Biologique et Agroalimentaires (GBA),2017,Insertion difficile apres l'obtention du diplume et la fin du stage de 5A. Peu d'opportunites en France en ayant peu (ou pas) d'experience.
Sciences et Technologies de l'Eau (STE),2017,Pas de remarque
Sciences et Technologies de l'Eau (STE),2017,Aucun
Materiaux (MAT),2017,Les formations de Communication et d'Insertion Professionelle ont ete tres importantes pour ma reussite. Le soutien pour trouver un stage de fin d'etude egalement.
Sciences et Technologies de l'Eau (STE),2017,Il faut toujours chercher  valoriser les experiences et formations passees
Materiaux (MAT),2017,On nous a 'prevenus' que trouver LE metier qui nous plairait serait difficile sans avoir d'outils vraiment precis sur comment le trouver. Peut-itre parler des tous les dispositifs qui existent : les aides pour ceux qui veulent se lancer dans l'entrepreneuriat le suivi souvent meconnu de Pule Emploi pour les cadres : possibilite de faire des PMSMP (Periode de Mise en Situation en Milieu Professionnel) pour valider un projet professionnel etc.
Materiaux (MAT),2017,Aucun accompagnement de l'ecole..
Mecanique et Interactions (MI),2017,Attention aux societes de conseil qui profite parfois de la naovete des nouveaux diplumes: mauvais salaire embauche sans mission de prevu.
Materiaux (MAT),2018,Offre d'ingenieurs materiaux principalement axees mecanique
Informatique et Gestion (IG),2018,Je pense qu'on devrait avoir un bagage technique plus moderne (pas de java 4 par exemple) Des introductions au web moderne et l'architecture d'applications  grande echelle pourraient itre sympas
Sciences et Technologies de l'Eau (STE),2018,Merci aux anciens eleves c'est une des meilleures aides pour l'insertion pro 
Informatique et Gestion (IG),2018,Il ne faut pas avoir peur de l'inconnu de partir dans un pays etranger etc. Il faut essayer et si Aa ne nous plait pas ou que Aa ne fonctionne pas alors c'est pas grave il y a toujours plein d'autres opportunites qui nous attendent ailleurs. C'est l'avantage de la formation IG il n'y a aucune difficulte a trouver un emploi peut importe o  l'on se trouve en France ou dans le Monde.
Genie Biologique et Agroalimentaires (GBA),2018,J'ai ete tres bien integree suite  mon stage (embauchee 2 mois avant la fin). Suite  la suppression de mon poste j'ai ete deplacee dans le service dans lequel j'avais fait mon stage. Plus terrain donc et plus interessant il est tres important de s'investir et de faire ses preuves lors de son stage car on ne sait pas de quoi l'avenir sera fait ce sera toujours un plus ! 
Microelectronique Et Automatique (MEA),2018,Tres bonne
Systemes Embarques (SE - apprentissage),2018,J'ai eu beaucoup de chance. L'utilisation du site de l'APEC m'a enormement aide et c'est grce   cet outil que j'ai trouve mon emploi en deux semaines.
Genie Biologique et Agroalimentaires (GBA),2018,Mon insertion professionnelle s'est faite assez rapidement mime si j'avais quelques craintes car lors de mes stages je me suis vraiment specialisee en analyse sensorielle secteur assez ferme ! Finalement c'est ma specialisation qui a fait la force de mon CV et qui a fait que je suis aujourd'hui dans mon poste de responsable donc je ne regrette rien !
Eau et Genie Civil (EGC - apprentissage),2018,Le milieu professionnel est tres different du milieu scolaire. L'autonomie est en toujours appreciee mais savoir poser des questions pertinentes l'est  tout autant
Sciences et Technologies de l'Eau (STE),2018,Tout se passe bien. 
Mecanique Structures Industrielles (MSI - apprentissage),2018,Tres bonne.
Genie Biologique et Agroalimentaires (GBA),2018,Je suis un exemple de la reponse fournie  la question precedente. J'exerce actuellement dans un secteur tres different de celui vers lequel est orientee la formation que j'ai suivi  Polytech. Pour autant j'en suis tres satisfait je gagne en competence dans un autre domaine et n'exclue pas pour autant de revenir vers mon domaine de formation initial  l'avenir.
Mecanique et Interactions (MI),2018,Surprise du salaire (30k)
Materiaux (MAT),2018,Merci le reseau qui m'a aide  trouver ma societe il faut pour moi developper encore plus cette relation avec les anciens par polytech connect par des evenements reguliers avec les anciens de l'ecole.
Microelectronique Et Automatique (MEA),2018,J'ai eu une these grce  un de mes encadrants de projet qui avait apprecie mon travail.
Materiaux (MAT),2018,Le premier enseignement est que beaucoup de grandes entreprises embauchent des jeunes diplumes  la suite d'un stage chez eux (il faut donc privilegier les stages avec possibilite d'embauche par la suite : ne pas hesiter  demander en entretien). Le deuxieme enseignement est que pour continuer en R&D il est preferable de faire une these puisque de nombreuses entreprises privilegient les doctorants pour des postes R&D en profil   debutanta. En ce qui concerne les entreprises de prestation elles recrutent facilement mais il faut bien faire attention au choix de la 1ere mission et  l'entreprise en elle mime (toute les entreprises de prestation ne se valent pas : ne pas hesiter  bien s'informer sur l'entreprise). Des missions peu en lien avec notre formation nous sont proposees. Il faut prendre garde  ce que cette experience rentre dans notre objectif professionnel et qu'elle puisse nous apporter quelque chose pour la suite mime si cela ne correspond pas parfaitement  l'emploi desire. Les missions 100% materiaux R&D sont tres rares voire inexistantes en prestation. Pour ma part j'ai donc fait une concession en acceptant une mission en qualite mais qui porte sur une problematique materiaux (pieces metalliques aeronautiques) qui pourra m'ouvrir d'autres portes par la suite.
Mecanique et Interactions (MI),2018,J'ai trouve mon sujet de these grce  l'entreprise dans laquelle j'ai fait mon stage de fin d'etude que j'ai lui mime trouver par un intervenant  Polytech (Mr Sanchez). J'ai aujourd'hui l'impression d'itre  ma place et de faire des choses qui me motivent et stimulent un peu plus chaque jour. Encore merci.
Genie Biologique et Agroalimentaires (GBA),2018,-
Informatique et Gestion (IG),2018,Ne pas hesiter  postuler  plusieurs endroits mime si Aa ne nous correspond pas. L'important c'est d'avoir le choix.
Mecanique et Interactions (MI),2018,Plutut correct j'ai trouve un travail rapidement. J'ai eu la chance de me faire embaucher dans le groupe Safran grand nom de l'aeronautique (stage de 5A effectue chez Safran 1 an plus tut) quelques mois apres l'obtention de mon diplume.
Genie Biologique et Agroalimentaires (GBA),2019,Assez difficile dans le secteur de la R&D peu d'offre et les professionnels demandent de l'experience 
Materiaux (MAT),2019,Ne pas negliger l'usage de LinkedIn pour trouver un emploi.
Mecanique et Interactions (MI),2019,pour trouver du boulot dans une entreprise de conseils type Alten/Altran/Capgemini c'est relativement facile mais cela devient complique pour trouver du travail dans une boOte leader
Mecanique Structures Industrielles (MSI - apprentissage),2019,RAS c'etait top !
Informatique et Gestion (IG),2019,Mon insertion professionnelle s'est bien passee les cours dispenses et les projets realises dans le cadre de ma formation IG m'ont prepares  faire face aux defis du monde professionnel tant sur le plan technique qu'humain.
Sciences et Technologies de l'Eau (STE),2019,L'insertion se fait majoritairement via des anciens eleves STE dans les grandes entreprises de l'eau.  Ce sont tous les domaines qui touchent  l'hydraulique et  l'assainissement qui sont les plus vendeurs pour la recherche d'emplois. L'ecologie et la biologie sont des domaines malheureusement sous-representes dans le marche du travail.  Il faudrait developper l'insertion professionnelle dans les secteurs publics afin de pouvoir acceder et mettre en pratique les enseignements prodigues pendant le cycle ingenieur.
Informatique et Gestion (IG),2019,Beaucoup de recruteurs m'ont contacte en essayant de vendre un travail de reve dans une SSII. Ne pas tomber dans le piege on peut trouver plus interessant mieux paye avec pleins d'avantages et surtout des possibilites d'evolution.
Materiaux (MAT),2019,Manque cruel d'un enseignement en lien avec la realite professionnelle. 
Genie Biologique et Agroalimentaires (GBA),2019,Mon insertion professionnelle a ete tres rapide car j'ai signe mon contrat de VIE 2 mois avant la fin de mon alternance. Grce  Polytech je suis rentree chez sanofi par le contrat de professionnalisation et j'ai eu la chance d'avoir cette belle opportunite de ViE
Microelectronique Et Automatique (MEA),2019,Favoriser les travaux (c'est le cas en MEA) en groupe tout en changeant les groupes Aa permet de faciliter l'integration dans les equipes. 
Materiaux (MAT),2019,Tout se passe bien
Systemes Embarques (SE - apprentissage),2019,RAS
Genie Biologique et Agroalimentaires (GBA),2019,Partenariat tres limite en GBA avec des industries 
Genie Biologique et Agroalimentaires (GBA),2019,Il y a un an lorsque j'ai debute mon stage de fin d'etudes je n'avais absolument pas considere l'idee de me lancer dans une these. Mais ce stage m'a revele tout une facette de la recherche que je ne connaissais absolument pas et m'a permis d'obtenir les contacts necessaires  entreprendre une these au Canada. La formation GBA offre des bases solides pour demarrer une carriere dans de nombreux domaines car elle nous forge  itre adaptables. Je pense qu'il faut en profiter pleinement puis suivre son instinct et saisir les opportunites.
Sciences et Technologies de l'Eau (STE),2019,Mon insertion professionnelle c'est tres bien passe dans l'entreprise.
Sciences et Technologies de l'Eau (STE),2019,/
Informatique et Gestion (IG),2019,La realisation de projet et une connaissance globale m'a permis de partir dans un domaine que je connaissais pas et j'ai pu gagner en autonomie. Mon insertion professionnelle c'est bien passee j'ai pu gagner en responsabilite et en competence et j'apprends tous les jours c'est ce qui me motive  continuer. 
Eau et Genie Civil (EGC - apprentissage),2019,L'apprentissage reste la meilleure voie pour l'insertion pro dans le BTP
Systemes Embarques (SE - apprentissage),2019,Nous sommes beaucoup contactes en sortie d'ecole pour ma part cela ete aux alentours des 25 appels/ semaine. Il faut attention a la direction que l'on souhaite prendre si c'est hard ou soft. Les metiers dans le software sont actuellement enormement recherches surtout dans l'embarque (Linux principalement).
Informatique et Gestion (IG),2019, tre ouvert parlez au genre et pas hesiter  poser des questions 
Materiaux (MAT),2019,Parfois essayer un stage dans un domaine auquel nous n'aurions pas pense ouvre des portes et permets de decouvrir un autre aspect du monde professionnel.
Mecanique et Interactions (MI),2019,La mise en place d'option ou de differents parcours  l'interieur de la formation permettrait aux etudiants de s'orienter plus tot vers les domaines qui les interessent et eviter de les demotiver avec des cours qui leur sont inutiles. 
Microelectronique Et Automatique (MEA),2019,Je remercie le corps enseignant qui m'a accompagne dans mon projet des ses debuts et sans qui je n'aurait pas pu m'y lancer.
Materiaux (MAT),2019,Beaucoup des propositions d'entretien avec des entreprises de prestation qui ne respectent pas forcement les desirs des employes difficile d'itre embauche dans une entreprise directement. 
Informatique et Gestion (IG),2019,J'ai eu un peu peur au debut de me lancer en tant qu'auto-entrepreneur. Mais creer une entreprise n'est pas trop complique et j'ai pu avoir mes premieres missions grce  mes projets industriels et mes stages : Aa m'a beaucoup aide.   Le volet gestion / compta / finance de la formation m'a bien aide pour gerer mon entreprise (mime si de base c'est tout de mime facile sans ces connaissances).
Sciences et Technologies de l'Eau (STE),2019,Mon stage de 5A m'a plus servi pour mon metier actuel que la quasi totalite de la formation.
Informatique et Gestion (IG),2019,Rien  dire mon insertion s'est tres bien passee
Microelectronique Et Automatique (MEA),2019,Embauche  la suite de mon stage tout c'est fait naturellement. Decouverte du monde du travail en tant qu'ingenieur ... Plutut pas mal !
Sciences et Technologies de l'Eau (STE),2019,Mon insertion professionnelle a ete grandement facilite par mon contrat pro realise en derniere annee (CDI obtenu avant la fin du contrat pro).  Il est necessaire d'avoir un projet professionnel avant de sortir d'ecole et de rechercher un emploi correspondant  son profil le plus tut possible. En effet le 1er emploi est le plus difficile  decrocher en sortant d'ecole (manque d'experience professionnelle pretentions salariales...) et plus on tarde  trouver plus Aa devient complique...
Microelectronique Et Automatique (MEA),2019,Les petite les entreprises de prestations sont tres bonne pour commencer sa vie professionnelle. 
Informatique et Gestion (IG),2019,Mon emploi actuel ne correspond pas  la formation mais les competences  acquises au cours de mes trois annees  Polytech me sont tres utiles.
Genie Biologique et Agroalimentaires (GBA),2019,Mon insertion professionnelle s'est realisee dans la continuite de mon stage mais dans un service different de celui dans lequel j'avais fait mon stage. Cependant le poste que j'occupe est un poste d'ingenieur en pratique mais de technicienne sur le papier le contrat de travail etant pour moi difficile  negocier l'entreprise jouant sur le manque d'experience. 
Mecanique et Interactions (MI),2019,Des enseignements en anglais seraient plus quutiles pour le monde de truvail ensuite. HS mais : Un meilleur suivi (et un peu de consideration) des eleves en contrats pro. L'ipad n'a aucun interet sinon celui de renvoyer une image 'itech' de l'ecole (erronnee) perte d'argent de temps de concentration. 
Microelectronique Et Automatique (MEA),2019,...tant donne que le taux d'etudiants qui voudraient continuer d'etudier un doctorat n'est pas faible. Il pourrait ils fournir des conseils par exemple comment etudier un doctorat en France ou aux etrangers comment rediger une proposition de recherche comment choisir et contacter avec un directeur en avanceetc.
Microelectronique Et Automatique (MEA),2019,Insertion professionnelle tres rapide grce au reseau Polytech.  Insister sur les competences Hardware car plus elles sont plus difficiles  acquerir en autonomie et permettent de se distinguer.
Eau et Genie Civil (EGC - apprentissage),2019,L'apprentissage est l'une des meilleure voie pour l'insertion professionnelle.
Eau et Genie Civil (EGC - apprentissage),2018,Rien  dire L'alternance est mieux que le cursus classique.  J'ai fait les deux et ce n'est pas comparable la plus value qu'on peut obtenir en apprentissage. 
Mecanique et Interactions (MI),2019,Faire valoir ses atouts notamment le fait de parler plusieurs langues c'est un enjeu majeur qui fait une vraie difference ainsi que le savoir itre (savoir se vendre). Le contenu et la methode scientifique sont  mettre en avant.
Systemes Embarques (SE - apprentissage),2018,Surpris et content d'avoir en sorti d'ecole ce poste qui necessite normalement des annees d'experience car beaucoup de responsabilites. D'autant plus d'itre responsable d'un des axe strategique de la compagnie : l'AI
Mecanique et Interactions (MI),2017,RAS.
Mecanique et Interactions (MI),2017,L'insertion professionnelle ne se fait pas que la derniere annee au contraire elle se prepare le plus tut possible en creant un reseau en ayant des experiences terrains... malheureusement c'est une question que l'on se pose beaucoup trop tard  Polytech Montpellier
Mecanique et Interactions (MI),2018,Pour itre bien reussit il est essentiel que le projet soit definit au plus tut. Si celui-ci est clair des le debut de la 4A l'etudiant devrait beneficier de plus de libertes pour son projet (ex : retourner dans une structure o  un emploi est dej quasi-assure).
Eau et Genie Civil (EGC - apprentissage),2018,Mon insertion dans le monde professionnel s'est faite de maniere tres fluide par le biais de l'ecole donc je n'ai pas de remarques.
Informatique et Gestion (IG),2018,Grce  Polytech et  sa notoriete dans la region il a ete tres facile de trouver un travail. Le plus dur est souvent de choisir entre les multiples propositions.
Informatique et Gestion (IG),2018,Parcours plutut particulier apres le diplume : la definition d'itre au bon endroit au bon moment.  J'ai trouve un stage sans trop chercher (Merci Lysiane) et je n'ai eu aucun soucis pour me faire embaucher dans l'entreprise apres le stage.  Malheureusement celle-ci a fait faillite 4 mois plus tard motivant ainsi une petite partie des employes  creer leur propre entreprise portant un projet bien plus prometteur.  Les relations avec mes collegues et la reconnaissance de mon travail m'ont permis d'itre invite dans cette nouvelle equipe une opportunite que j'ai bien evidemment saisi.  
Informatique et Gestion (IG),2017,Il est important de trouver ce qui compte pour vous : de la securite de l'emploi le salaire la diversite des missions. Pour moi c'etait important d'avoir une entreprise  mon ecoute donc j'ai evite les grosses societes de services.
Mecanique et Interactions (MI),2018,Preferer les offre emploi junior
Informatique et Gestion (IG),2019,J'ai demarre en tant que developpeur front-end puis suis passe responsable du projet en Janvier 2020 au sein d'une equipe de 3 developpeurs.
Sciences et Technologies de l'Eau (STE),2018,RAS
Sciences et Technologies de l'Eau (STE),2019,Je n'ai pas encore eu  me poser cette question. 
Sciences et Technologies de l'Eau (STE),2017,Permis indispensable Faire son reseau 
Sciences et Technologies de l'Eau (STE),2019,En rentrant dans la vie professionnelle il faut savoir qu' ces debuts il est normal  d'avoir l'impression de ne rien savoir et de se mettre la pression. L'entreprise le sait et si elle vous prend elle vous formera. 
Eau et Genie Civil (EGC - apprentissage),2017,RAS
Sciences et Technologies de l'Eau (STE),2019,(Desolee pour le manque d'accents le clavier anglais ne me permet pas de le faire!) 
Informatique et Gestion (IG),2019,rien de particulier... l'insertion est tres simple  la suite du stage de fin d'etudes
Informatique et Gestion (IG),2019,RAS
Sciences et Technologies de l'Eau (STE),2019,L'insertion professionnelle peut itre compliquee en sortie d'ecole notamment parce que la plupart des offres requierent quelques annees d'experiences. Il ne faut pas se laisser decourager pour autant et postuler mime si on nous demande entre 1 et 3 ans d'experience en mettant en avant sa motivation. 
Sciences et Technologies de l'Eau (STE),2019,L'insertion professionnelle est compliquee si on ne continue pas dans l'entreprise de son stage car les entreprises demandent beaucoup d'experiences et les postes juniors sont rares et rapidement pourvus. La concurrence est rude sur le marche du travail. Sinon il y a enormement d'offres mais pour des ingenieurs confirmes.
Sciences et Technologies de l'Eau (STE),2018,Tout le monde sait qu'il ne faut pas faire le difficile pour un premier emploi en terme de salaire ou temps/lieu de travail. Il faut prendre ce qu'on vous propose car des dizaines de personnes attendent derriere. L'important est de postuler pour des offres interessantes. Le premier emploi est essentiel pour comprendre le monde de l'entreprise le developement d'un projet (Appel d'offre design construction commissionning) et les differentes competences pour reussir.
Sciences et Technologies de l'Eau (STE),2019,J'aurais personnellement souhaite faire plus de stage car c'est notre experience professionnelle qui reste cruellement vide et ne facilite pas l'embauche.
Informatique et Gestion (IG),2017,Essentiellement tout dis sur la question precedente cela s'est passe comme Aa pour moi.
Microelectronique Et Automatique (MEA),2017,Je souhaiterais faire remarquer que nous ne sommes pas assez informes concernant les boites de presta qui sont de veritables usines  consultant. A la sortie de l'ecole ces boites essayent de capter un maximum de nouveau diplomes naOfs. Car il faut pas se leurrer en sortant d'ecole sauf si vous avez fait l'Ecole Polytechnique Central Parisetc... il est illusoire de penser que l'on peut integrer directement un grand groupe tel qu'Airbus Thales etc.. Le plus souvent les etudiants se tournent alors vers les boites de services qui vont vous proposer des missions n'ayant aucun interet ni rapport avec votre projet pro et tres mal paye. Pour ma part j'ai eu la chance de me faire remarquer tres vite au pres du client final (Airbus DS) qui m'a alors engage. Mais la grande majorite des sous traitants n'integrera jamais le client final. C'est la realite des chiffres. Alors ne vous enfermer pas dans la sous traitance si ca ne devient pas un tremplin pensez au PME startup etc...
Microelectronique Et Automatique (MEA),2018,Peu importe votre niveau ne pas choisir de travailler en startup si vous avez du mal  supporter le stress. Sinon foncez en startup on en apprend enormement en quelques mois
Eau et Genie Civil (EGC - apprentissage),2017,Periode de 6 mois entre la fin de la formation et le debut de mon emploi actuel. Du fait de l'apprentissage habitue  la vie en entreprise. Quelque temps neanmoins pour se familiariser avec les pratiques de l'entreprise (quelque peu differente de celle o  j'etais en apprentissage).
Genie Biologique et Agroalimentaires (GBA),2019,M. VIART m'aide dans ma recherche d'emploi me conseille et m'oriente grce  son reseau Professeurs presents et reactifs pour aider et rassurer 
Informatique et Gestion (IG),2018,Je suis reconnaissant de mes experiences  l'etranger
Genie Biologique et Agroalimentaires (GBA),2019,Orienter plus les etudiants dans leurs recherches de stage
Microelectronique Et Automatique (MEA),2018,facile et immediat
Genie Biologique et Agroalimentaires (GBA),2019,Pour le moment j'ai eu de la chance d'itre restee dans l'entreprise de mon stage.
Genie Biologique et Agroalimentaires (GBA),2019,L'insertion professionnelle s'avere compliquee en agroalimentaire et particulierement en R&D o  les postes sont rares.  Ce n'est pas facile de lier le lieu geographique souhaite et le poste desire.   
Sciences et Technologies de l'Eau (STE),2018,cette formation m'a apporte des competences dans les sciences de l'eau que je vais appliquer dans ma ferme.
Microelectronique Et Automatique (MEA),2018,Les activites extra ecole sont determinantes dans la differenciation de son profil.  Echanger avec les respo de departement au sujet du projet pro. 
Genie Biologique et Agroalimentaires (GBA),2017,Je pense que le passage  l'etranger et la recherche permanente de stage et emplois en developpements agroalimentaires m'ont permis d'acceder  une situation tres correcte  25 ans et d'exercer un emploi qui me plaOt.
Microelectronique Et Automatique (MEA),2018,La formation nous mets tres bien en situation et nous prepare bien a l'insertion professionnelle mon seul regret est de ne pas avoir ete assez assidu dans les cours non-scientifique comme l'economie la gestion de projet et autres qui s'averent itre bien plus utiles qu'il ne me paraissait  l'epoque pour comprendre l'environnement de travail et celui dans lequel evolue l'entreprise
Genie Biologique et Agroalimentaires (GBA),2017,RAS
Systemes Embarques (SE - apprentissage),2019,Bonne insertion professionnelle malgre des difficultes de parcours avec une entreprise qui a fait faillite.
Systemes Embarques (SE - apprentissage),2019,L apprentissage permet d obtenir une bonne premiere experience et peut parfois comme dans mon cas faciliter l insertion professionnelle
Genie Biologique et Agroalimentaires (GBA),2019,Certaine societes de conseils peuvent avoir une mauvaise reputation le consultant  n'est pas forcement amene  parcourir la France pour une mission ou une autre tous les 6 mois. C'est un bon moyen de debuter dans le monde de l'industrie de se former se faire un reseau et toucher  plusieurs postes qui peuvent nous interesser . 
Mecanique et Interactions (MI),2018,X
Materiaux (MAT),2019,Les offres proposees sur Poly+ n'etaient soit pas en rapport avec le domaine que je recherchais soit trop loin geographiquement.  Concernant mon insertion professionnelle j'ai d  un peu etendre la zone geographique pour trouver rapidement.  
Microelectronique Et Automatique (MEA),2018,Ne pas hesiter  envoyer des candidatures spontanees  des entreprises / organisations qui nous semblent inaccessibles. 
Genie Biologique et Agroalimentaires (GBA),2019,Insertion compliquee en R&D/Innovation apres avoir fait une alternance en marketing. Necessite de faire un mastere specialise en innovation pour pouvoir y retourner.  Conseil : plus informer sur les differents postes d'ingenieurs et leur contenu. Avec un meilleur accompagnement peut itre que je n'aurai pas choisi une alternance marketing en 5eme annee.
Genie Biologique et Agroalimentaires (GBA),2018,L'insertion des jeunes diplumes est difficile notamment pour trouver un poste en R&D. Les entreprises sont frileuses vis  vis des jeunes et certaines ne connaissent mime pas l'ecole. Il y a egalement peu d'offres dans ma branche. Il faudrait plus valoriser les alternances possibles afin de rivaliser avec les ecoles qui proposent 2 stages de 6 mois pendant le cursus. Malgre tout j'ai reussi  obtenir un stage en Marketing sans aucune experience lors de ma poursuite d'etudes.
Systemes Embarques (SE - apprentissage),2017,Tout s'est tres bien passe pour moi. Pendant la formation on est vraiment considere en tant qu'adulte travailleur et non etudiant stagiaire ce qui aide  l'insertion professionnelle 
Mecanique et Interactions (MI),2017,De mon cute j'ai eu de la chance et me suis laisse porte. Lors de mon projet PIFE avec M. RENOUF j'avais evoque mon interit potentiel pour un doctorat et c'est durant mon stage de fin d'etude que M. RENOUF m'a propose une these.   noter que ce qui a pour l'instant oriente mon stage de fin d'etude puis ma these a ete mon PIFE (sur les milieux granulaires).
Materiaux (MAT),2018,Pas de problemes d'insertion je dirais que dans mon domaine d'activite les sciences 'molles' (communication relationnel) sont tout autant (voire +) importantes que les sciences dures. Il est tres important d'avoir une certaine intelligence emotionelle.
Materiaux (MAT),2017,Tres bonne!
Materiaux (MAT),2019,Extrimement difficile de trouver un emploi sans experience professionnelle dans le domaine des materiaux recruteurs tres fermes 
Materiaux (MAT),2019,Assez rapide mais difficile car pas d'experience Beaucoup de contacts et premiers entretiens avec des societes de conseil mais aucun aboutissement
Materiaux (MAT),2019,Mon entreprise emet des offres de stage avec pour but une embauche  la fin de ceux-ci. Mon insertion professionnelle s'est faite naturellement. Il me semble que la principale utilite du stage de fin d'etude est de montrer la realite du monde de l'entreprise et que l'embauche  la fin du stage est une caracteristique  privilegier lors de la recherche de celui-ci.
Microelectronique Et Automatique (MEA),2019,Je sais pas 
