formation,"quels enseignements, presents dans votre formation, vous paraissent inutiles ?"
Sciences et Technologies de l'Eau (STE),Tous les enseignements ont une utilite.
Sciences et Technologies de l'Eau (STE),GdP Chimie de l'eau
Materiaux (MAT),L'entrepreunariat
Sciences et Technologies de l'Eau (STE),economie 
Informatique et Gestion (IG),Reseaux RO 
Sciences et Technologies de l'Eau (STE),Biologie ( du fait de mon parcours professionnel)
Informatique et Gestion (IG),RO
Eau et Genie Civil (EGC - apprentissage),Sans avis
Informatique et Gestion (IG),LV2 les cours de Marco
Materiaux (MAT),Communication Economie Module Entreprenariat Juridique   ==> Ces modules sont trop deconnectes du monde reel. (ou alors pas vraiment utile)
Materiaux (MAT),LV2 
Genie Biologique et Agroalimentaires (GBA),-
Microelectronique Et Automatique (MEA),Les cours de droit et d'analyse complexe
Eau et Genie Civil (EGC - apprentissage),Mathematiques --> trop developpes pour ce que nous utilisons reellement Eurocodes --> idem
Eau et Genie Civil (EGC - apprentissage),Aucune  la formation propose un large choix  de domaine d'activite.
Systemes Embarques (SE - apprentissage),Plus d'avis
Mecanique et Interactions (MI),Robotique
Mecanique et Interactions (MI),3x les memes cours d'automatisme
Mecanique et Interactions (MI),Gestion des bases de donnees
Mecanique et Interactions (MI),Avec du recule il y en a pas. 
Eau et Genie Civil (EGC - apprentissage),/
Mecanique et Interactions (MI),Eco conception
Mecanique et Interactions (MI),Rien
Mecanique et Interactions (MI),Eco conception 
Mecanique et Interactions (MI),Automatique (trop d'automatique present en 5A)
Materiaux (MAT),Les enseignements de communication et d'insertion professionnel sont redondant entre la troisieme et la quatrieme annee. Rien de nouveau n'est apporte en quatrieme annee et les cours sont ainsi une perte de temps. Il serait interessant de mutualiser ces deux annees de cours en un seul enseignement sur un semestre par exemple. Les cours de langues vivantes 2 (espagnol allemand et autre) ne sont pas non plus d'un grand interet.
Materiaux (MAT),- 
Mecanique et Interactions (MI),Aucun
Systemes Embarques (SE - apprentissage),Modelisation UML graphes et application
Mecanique et Interactions (MI),Aucun. Comme dit precedemment. Je pense qu'ils apportent tous au minimum des qualites de debrouillardise indispensable a la vie professionnel.
Sciences et Technologies de l'Eau (STE),biologie microbiologie
Sciences et Technologies de l'Eau (STE),Le cours en anglais de transitoire hydraulique qui est beaucoup trop specialise et specifique. Pour ma part il ne m'a pas ete utile sauf le fait qu'il soit en anglais ce qui est un bon point. Le cours pour creer une start-up ou on tous les eleves des differentes specialites etaient melanges. Cet enseignement prend beaucoup trop de temps en cours et en terme de livrables a rendre pour un gain tres limite en terme d'utilite professionnelle notamment dans la specialite STE ou on ne se lance pas dans une start-up apres le diplome. En 5A plusieurs conferences faisaient doublons c'est dommage sachant qu'il resterait pas mal de point a aborder comme dit precedemment.
Sciences et Technologies de l'Eau (STE),Les cours de LV2 ne devraient pas etre obligatoire. Il serait interessant de faire le choix entre prendre un cours de LV2 ou un cours non scientifique de type : communication gestion de projet ect...
Sciences et Technologies de l'Eau (STE),Transfert matieres/chaleur Statistiques  
Sciences et Technologies de l'Eau (STE),_ Une majorite des cours 'non scientifiques' du moins tels qu'enseignes actuellement (mais je suis conscient qu'ils sont necessaires car 1/3 de notre formation doit etre non scientifique) _ La formation est tellement large qu'une grande majorite des enseignements scientifiques sont inutiles pour un travail donne mais aucun ne me parait completement inutile pour tous metiers (notamment car ils participent a une culture generale et une vision globale du monde de l'eau toujours enrichissante)
Sciences et Technologies de l'Eau (STE),les cours sur l'automatisation
Sciences et Technologies de l'Eau (STE),Aucun
Genie Biologique et Agroalimentaires (GBA),Qualite de vie au travail 
Genie Biologique et Agroalimentaires (GBA),Thermodynamique
Genie Biologique et Agroalimentaires (GBA),Les methodes de management ou d'organisation : lean smed 5s... Toutes les matieres physiques me paraissent utiles pour mon travail aujourd'hui. 
Sciences et Technologies de l'Eau (STE),Hydrologie
Sciences et Technologies de l'Eau (STE),N:A
Sciences et Technologies de l'Eau (STE),La formation est trop vaste se specialiser des la deuxieme annee est plus avantageux. Car nous sommes desservies par rapport aux candidats venant d'ecoles tres specialises sur des domaines qui recrutent le plus (ex. assainissement genie civil maitrise d'&oeliguvre).
Genie Biologique et Agroalimentaires (GBA),Tous ceux de l'option qualite 
Mecanique et Interactions (MI),Aucun
Mecanique et Interactions (MI),Volumes finis
Genie Biologique et Agroalimentaires (GBA),Les cours de transfert de matiere / thermodynamique / fluide industriels etc mais je suis sure qu'ils sont utiles a de nombreuses autres personnes
Sciences et Technologies de l'Eau (STE),La formation informatique en premiere annee
Sciences et Technologies de l'Eau (STE),Une grande partie de la 5e annee qui devrait etre plus axee sur les projets.
Sciences et Technologies de l'Eau (STE),Modelisation hydraulique selon logiciel utilise
Genie Biologique et Agroalimentaires (GBA),Aucun
Mecanique et Interactions (MI),Pourquoi imposer les semestres d'echange en 5A ? J'ai pu partir en echange a Birmingham excellente experience mais j'ai par consequent rate la partie la plus 'professionnalisante' du cursus. 
Genie Biologique et Agroalimentaires (GBA),Tous etaient utiles nous avons eu une formation globale qui permet de postuler a grand nombre de postes differents
Mecanique et Interactions (MI),OSPE
Mecanique et Interactions (MI),Aucun
Mecanique et Interactions (MI),Je sais que c'est impose par l'organisation qui donne la certification du diplome d'ingenieur mais c'etait clairement ceux d'environnement economique des entreprises.   Ces cours prenaient enormement de temps pour un apport assez limite...  Ceux de gestion et de droits du travail etait par contre utile. 
Sciences et Technologies de l'Eau (STE),Les modeles hydrauliques utilisaient que par cereg 
Sciences et Technologies de l'Eau (STE),.
Sciences et Technologies de l'Eau (STE),Les cours de communication. Je pense que ca pourrait etre tres utile mais peut etre dans un autre format
Genie Biologique et Agroalimentaires (GBA),Aucuns
Eau et Genie Civil (EGC - apprentissage),rien tout depend de l'activite professionnel actuelle 
Eau et Genie Civil (EGC - apprentissage),Le pass informatique La veille informatique  
Eau et Genie Civil (EGC - apprentissage),Traitement de l'eau
Eau et Genie Civil (EGC - apprentissage),Biologie
Sciences et Technologies de l'Eau (STE),Genie des procedes italien truc sur l'entreprise 
Genie Biologique et Agroalimentaires (GBA),Aucun
Mecanique et Interactions (MI),Un certain nombre de cours de l'UE SHEJS tels que les cours de communication de management de gestion etc...  Les cours de droit de fonctionnement des entreprises et de Base de Donnees sont cependant tres interessants. 
Mecanique et Interactions (MI),Biomecanique Robotique medicale 
Materiaux (MAT),Rien
Materiaux (MAT),RAS
Materiaux (MAT),Physique du solide en MAT3 Enseignement peu concret sans reel interet demontre
Materiaux (MAT),L'enseignement energie etait trop large. Peut etre eliminer la partie nucleaire et la remplacer par l'electrochimie des sources d'energie/stockage d'energie d'avenir.
Materiaux (MAT),/
Materiaux (MAT),MMC et plusieurs aspects mathematiques
Materiaux (MAT),Communication ecrite et orale cours d'economie (mal aborde)
Materiaux (MAT),Sans objet. 
Mecanique et Interactions (MI),La LV2
Materiaux (MAT),Aucun enseignement est strictement inutil
Mecanique Structures Industrielles (MSI - apprentissage),RAS
Mecanique Structures Industrielles (MSI - apprentissage),RAS
Mecanique Structures Industrielles (MSI - apprentissage),Thermodynamique surtout de la maniere peu pedagogique dont elle fut enseignee Economie comptabilite
Materiaux (MAT),-
Systemes Embarques (SE - apprentissage),Anglais les deux premieres annees... Cours sur les Normes 
Mecanique Structures Industrielles (MSI - apprentissage),Materiaux Plastique 
Mecanique Structures Industrielles (MSI - apprentissage),Comptabilite
Mecanique Structures Industrielles (MSI - apprentissage),GRH 
Materiaux (MAT),Methodes des elements finis
Mecanique Structures Industrielles (MSI - apprentissage),/
Informatique et Gestion (IG),Le cours inter-filieres sur la creation d'entreprise et les cours de LV2
Informatique et Gestion (IG),L'option insertion professionnelle (Notamment les cours d'audit bacles)
Informatique et Gestion (IG),Systemes  
Genie Biologique et Agroalimentaires (GBA),/
Genie Biologique et Agroalimentaires (GBA),-
Mecanique Structures Industrielles (MSI - apprentissage),Aucun
Mecanique Structures Industrielles (MSI - apprentissage),Matiere plastique
Microelectronique Et Automatique (MEA),Ondes Theorie de linformation Traitement du signal
Microelectronique Et Automatique (MEA),onde
Informatique et Gestion (IG),Comptabilite TOEIC
Microelectronique Et Automatique (MEA),Les cours de gestion d'entreprise de 5eme annee ne m'ont pas apportes grand chose. 
Microelectronique Et Automatique (MEA),Environnement economique des entreprises
Materiaux (MAT),Projets de groupes Travaux pratiques Cours polymeres thermodynamique  Insertion professionnelle 
Microelectronique Et Automatique (MEA),...
Microelectronique Et Automatique (MEA),Beaucoup
Informatique et Gestion (IG),Math math de la decision et apres les cours de gestion de projet mais c'est personnel car je ne souhaite pas devenir chef de projet ce n'est pas quelque chose qui m'interesse je prefere du dev :)
Informatique et Gestion (IG),Maths de la decision les ''''cours'''' avec des intervenants en 5A
Informatique et Gestion (IG),Recherche Operationelle
Genie Biologique et Agroalimentaires (GBA),Physique  Automatisme  Maths/cinetique enzymatique  
Materiaux (MAT),Programmation elements finis MMC
Informatique et Gestion (IG),.
Materiaux (MAT),/
Microelectronique Et Automatique (MEA),Programmation Objets connectes 
Genie Biologique et Agroalimentaires (GBA),Aucun 
Genie Biologique et Agroalimentaires (GBA),Deuxieme langue
Genie Biologique et Agroalimentaires (GBA),Seances de travaux pratiques d'une semaine ( trop long )
Microelectronique Et Automatique (MEA),Conferences
Informatique et Gestion (IG),Intro SI
Microelectronique Et Automatique (MEA),RAS
Systemes Embarques (SE - apprentissage),Aucun n'est inutile il faudrait cependant les rapprocher tous d'une activite en entreprise les contextualise
Microelectronique Et Automatique (MEA),Droit / Economie : pas inutile en soi car interessant mais inutile dans le travail au quotidien  LV2 : on n'atteint pas un niveau vraiment utilisable en entreprise 
Microelectronique Et Automatique (MEA),J'oublie vite tout ce que je considere inutile... Je me souviens juste que la partie automatique etait disproportionne par rapport a son utilite (pour moi la seule chose qui m'est reste sont les boucles de retour avec PID et tout ca. Meme si je m'en sert pas je garde ca a l'esprit). 
Materiaux (MAT),Tous
Informatique et Gestion (IG),Maths de la decision
Microelectronique Et Automatique (MEA),Rien
Mecanique et Interactions (MI),Tous ce qui est lie aux SHEJS a part le droit tout particulierement l'UE 'Innovation durable et entrepreneuriat responsable' qui est une perte de temps 
Materiaux (MAT),Verre ceramique entre mat 4 et mat 5 il n'y a aucuns suivi et on reprend les bases en mat5 autant dire une perte de temps. Les cours sur la physique atomistique --> inutile Le stage ouvrier en MAT3 completement inutile surtout l'analyse qu'il y a par derriere. Perso j'ai raconte n'importe quoi il suffit de decrire le fonctionnement d'une entreprise et ca marche. 
Mecanique Structures Industrielles (MSI - apprentissage),Tout depends des orientations professionelles
Mecanique Structures Industrielles (MSI - apprentissage),Realisation techniques et management
Genie Biologique et Agroalimentaires (GBA),Subjectif
Genie Biologique et Agroalimentaires (GBA),Aucun
Mecanique Structures Industrielles (MSI - apprentissage),ca depend du metier dans mon cas soudage mais peut etre que ca me servira plus tard 
Genie Biologique et Agroalimentaires (GBA), 
Materiaux (MAT),Environnement Economique des Entreprises
Materiaux (MAT),Aucun. Connaissance personnelle et pro interessante meme si competence plus vraiment utilisee. 
Materiaux (MAT),-
Genie Biologique et Agroalimentaires (GBA),Pas inutile mais beaucoup trop de nutrition.
Materiaux (MAT),  
Microelectronique Et Automatique (MEA),LV2
Mecanique Structures Industrielles (MSI - apprentissage),Emboutissage
Informatique et Gestion (IG),Aucun ca depend du metier 
Informatique et Gestion (IG),Espagnol Trop de statistiques pour le nombre de personnes qui les utiliseront plus tard
Informatique et Gestion (IG),Les cours de gestion la trop grande presence de cours d'informatique bas niveau la LV2
Informatique et Gestion (IG), 
Informatique et Gestion (IG),Comptabilite Economie Recherche et Optimisation.
Informatique et Gestion (IG),RO 
Informatique et Gestion (IG),La partie systeme d'information
Informatique et Gestion (IG),Les cours en partenariat avec IBM le cours ITIL Urbanisation des SI
Informatique et Gestion (IG),L'aspect gestion/comptabilite : ce n'est pas inutile ca m'est utile notamment aujourd'hui pour mon activite d'auto-entrepreneur mais ca n'a pour moi qu'un aspect fonctionnel  un outil pour mon activite. J'aurais donc prefere que cet aspect ait une place moins importante dans la formation.
Informatique et Gestion (IG),Mathematiques de la decision 
Microelectronique Et Automatique (MEA),Certains cours de mathematiques avances. 
Microelectronique Et Automatique (MEA),aucun
Informatique et Gestion (IG),Recherche Operationnelle
Informatique et Gestion (IG),Theorie des graphes
Genie Biologique et Agroalimentaires (GBA),Nutrition 
Informatique et Gestion (IG),mathematiques de la decision
Genie Biologique et Agroalimentaires (GBA),Mecanique des fluides  Programmation 
Mecanique Structures Industrielles (MSI - apprentissage),Thermodynamique 
Sciences et Technologies de l'Eau (STE),Les cours d'economie d'entreprise Entreprenariat Securite en entreprise
Sciences et Technologies de l'Eau (STE),Aucun. Certaines dominantes de la formation telles que l'ecologie offrent moins de debouches mais leur enseignement n'est pas a negliger.
Microelectronique Et Automatique (MEA),Je n'ai encore eu aucun besoin des enseignements sur les domaines economie juridique et creation d'entreprise
Genie Biologique et Agroalimentaires (GBA),Biotechnologies : OGM experimentation animale ...
Materiaux (MAT),Algorithme et matlab Calcul scientifique Projet AMN 
Genie Biologique et Agroalimentaires (GBA),Informatique espagnol management projet professionel
Informatique et Gestion (IG),RO
Informatique et Gestion (IG),None.
Informatique et Gestion (IG),La lv2 obligatoire
Eau et Genie Civil (EGC - apprentissage),Rien
Mecanique Structures Industrielles (MSI - apprentissage),Chimie Transfert thermique TOEIC  
Materiaux (MAT),Ras
Genie Biologique et Agroalimentaires (GBA),Espagnol  Cours de communication oral (pas ceux de Mme Saynes) 
Genie Biologique et Agroalimentaires (GBA),aucun
Genie Biologique et Agroalimentaires (GBA),economie
Microelectronique Et Automatique (MEA),Difficile de juger sachant que chaque parcours professionnel  des besoins differents. Pour mon parcours les cours d'entrepreneuriat ainsi que d'Environnement economique des entreprises.
Materiaux (MAT),Choix des materiaux materiaux et eco-conception Travail collaboratif et collectif ...
Sciences et Technologies de l'Eau (STE),Hydraulique transitoire Hydraulique souterraine   
Mecanique Structures Industrielles (MSI - apprentissage),Droit comptabilite.
Informatique et Gestion (IG),Mathematique de la decision
Materiaux (MAT),- 
Sciences et Technologies de l'Eau (STE),-
Genie Biologique et Agroalimentaires (GBA),Aucun
Sciences et Technologies de l'Eau (STE),Pas de remarque
Materiaux (MAT),...conomie
Sciences et Technologies de l'Eau (STE),Rien
Materiaux (MAT),Aucun.
Sciences et Technologies de l'Eau (STE),Aucun en particulier
Materiaux (MAT),Passeport informatique Droit 
Materiaux (MAT),Physique statistique
Mecanique et Interactions (MI),Environnement economique des entreprises Communication le projet sur l'innovation et entrepreneuriat.  
Mecanique et Interactions (MI),/
Mecanique Structures Industrielles (MSI - apprentissage),Traitement thermique chimie 
Mecanique Structures Industrielles (MSI - apprentissage),Chimie (Certainement lies au professeur...)
Mecanique et Interactions (MI),l'UE entreprenariat en 5e annee me parait particulierement inutile.
Microelectronique Et Automatique (MEA),Ondes theorie de l'information
Materiaux (MAT),Veille technologique et scientifique 
Informatique et Gestion (IG),TOEIC Comptabilite
Mecanique et Interactions (MI),Aucun me vient en tIte. Beaucoup ne me sont plus utiles professionnellement mais ne sont pas inutiles pour autant.
Informatique et Gestion (IG),Monter une startup Toutes les matieres o  il faut faire des recherches et des presentations dans le vent
Microelectronique Et Automatique (MEA),analyse complexe Innovation durable et entrepreneuriat responsable
Sciences et Technologies de l'Eau (STE),Aucun enseignement ne me parait inutile: je n'utilise plus du tout mes connaissances en ecologie mais ce n'est pas le cas de tout les diplumes et les cours m'ont permis d'obtenir une connaissance generale non negligeable dans ces domaines.
Genie Biologique et Agroalimentaires (GBA),Rien c'est de la culture personnelle et de la faculte d'adaptation par la suite. 
Genie Biologique et Agroalimentaires (GBA),aucun
Microelectronique Et Automatique (MEA),Droit
Microelectronique Et Automatique (MEA),Aucun mIme si certains pourraient paraOtre anecdotiques mais la culture technique est toujours bonne  prendre.
Microelectronique Et Automatique (MEA),VHDL
Microelectronique Et Automatique (MEA),/
Genie Biologique et Agroalimentaires (GBA),Rien n'est reellement inutile
Eau et Genie Civil (EGC - apprentissage),La programmation informatique 
Sciences et Technologies de l'Eau (STE),Hydraulique Gestion de projets  Communication  Reseaux et aspects techniques en hydrauliques 
Genie Biologique et Agroalimentaires (GBA),nul
Genie Biologique et Agroalimentaires (GBA),LabView base de donnees Anova... des cours trop pousses pour ce que j'utilise personnellement aujourd'hui. 
Genie Biologique et Agroalimentaires (GBA),N/A.
Mecanique et Interactions (MI),Aucun
Materiaux (MAT),Trop technique et acces recherche
Materiaux (MAT),Aucun
Mecanique et Interactions (MI),Pour ma part rien n'est  jeter mIme si je ne fais plus de conception mecanique il me paraitrait etrange d'Itre ingenieur mecanicien sans savoir faire de dessin techniques..
Genie Biologique et Agroalimentaires (GBA),-
Informatique et Gestion (IG),Aucun
Mecanique et Interactions (MI),Eco-conception
Genie Biologique et Agroalimentaires (GBA),Automatisme  Mecanique des fluides  Maths 
Mecanique Structures Industrielles (MSI - apprentissage),Transfert Thermique 
Materiaux (MAT),...conomie ( c'etait assez pousse )
Mecanique et Interactions (MI),Communication  
Genie Biologique et Agroalimentaires (GBA),Mecanique des fluides
Genie Biologique et Agroalimentaires (GBA),Les cours de communication 
Mecanique et Interactions (MI),Cours sur la biomeca ce serait plus interessant d'avoir des cours d'ouverture sur un domaine que l'on aime peut Itre utilise la proximite de la fac pour avoir un large choix de matiere pour l'ouverture
Mecanique Structures Industrielles (MSI - apprentissage),traAage
Informatique et Gestion (IG),NSP
Sciences et Technologies de l'Eau (STE),Les cours lies aux juridictions des entreprises ainsi que les cours de LV2.
Materiaux (MAT),Une tres grosse partie des cours sur les materiaux qui devraient Itre tres concrets sont extrImement abstraits et ne refletent pas du tout ce qu'on nous demande en entreprise. 
Genie Biologique et Agroalimentaires (GBA),Aucun
Materiaux (MAT),Mathematiques (par rapport  mon poste pas  la formation)
Informatique et Gestion (IG),Espagnol
Systemes Embarques (SE - apprentissage),Aucun
Genie Biologique et Agroalimentaires (GBA),Physiologie et metabolisme en nutrition sante
Sciences et Technologies de l'Eau (STE),Pass info 
Genie Biologique et Agroalimentaires (GBA),-
Sciences et Technologies de l'Eau (STE),-
Sciences et Technologies de l'Eau (STE),Aucun
Genie Biologique et Agroalimentaires (GBA),Securite  
Materiaux (MAT),La LV2 obligatoire  Polytech me paraOt inutile. Des cours supplementaires d'anglais ou de management de projet auraient ete plus utiles  mon sens.
Sciences et Technologies de l'Eau (STE),/
Materiaux (MAT),Physique du solide et tous les cours tres theoriques mais c'est tres subjectif ces cours sont utiles  ceux qui sont en R&D
Informatique et Gestion (IG),La partie gestion trop abstraite pour Itre utile 
Systemes Embarques (SE - apprentissage),La technique TROP approfondie 
Eau et Genie Civil (EGC - apprentissage),Base de donnees 
Systemes Embarques (SE - apprentissage),UML
Informatique et Gestion (IG),Aucun 
Mecanique et Interactions (MI),Aucun
Microelectronique Et Automatique (MEA),--
Sciences et Technologies de l'Eau (STE),gestion des entreprises  decantation/filtration transfert de matiere projet Excel 
Mecanique et Interactions (MI),Les formations qui concernent la formation qui viennent  des moments inopportuns qui devraient nous aider dans nos recherches d'emplois et de stage (pas au bon moment donc inutile).
Materiaux (MAT),Resistance des materiaux
Genie Biologique et Agroalimentaires (GBA),Aucun.
Mecanique et Interactions (MI),aucun 
Sciences et Technologies de l'Eau (STE),Economie 
Genie Biologique et Agroalimentaires (GBA),Algorithme
Microelectronique Et Automatique (MEA),Veille numerique
Genie Biologique et Agroalimentaires (GBA),Tous les cours uniquement theoriques : cinetique enzymatique cinetique biologique enzymologie transferts de matiere
Sciences et Technologies de l'Eau (STE),Cours d'economie de Celine Breton
Materiaux (MAT),Economie physique statistique calcul scientifique passeport informatique projet AMN Ces enseignements ne sont pas du tout utiles une fois en entreprise je trouve qu'il vaudrait mieux les remplacer par des enseignements plus utiles et qui sont utilises en entreprise. 
Informatique et Gestion (IG),Trop de cours de maths / algorithmie avancee je pense.
Sciences et Technologies de l'Eau (STE),Informatique (code)
Informatique et Gestion (IG),Je ne me souviens pas des noms des matieres mais en 5eme annee dans l'option Systeme d'Entreprise il y a plusieurs matieres qui auraient pu Itre remplacees par d'autres plus interessantes.
Microelectronique Et Automatique (MEA),Aucun ils apportent tous des connaissances importantes pour un ingenieur
Sciences et Technologies de l'Eau (STE),aucun
Sciences et Technologies de l'Eau (STE),Aucun de maniere generale (etant donne qu'on ne peut pas ou difficilement mobiliser la totalite des notions enseignees en ecole)
Microelectronique Et Automatique (MEA),Tout la theorie de l'electronique des composant elementaire on pourrait apprendre sur des composant complexe (associations de plusieurs composant simple)  Et tant que l'on lit de la documentation Aa sera la mIme chose
Informatique et Gestion (IG),Langues
Mecanique et Interactions (MI),Communication (pourquoi ne pas plutot ouvrir un peu l'esprit avec par exemple un cours sur l'ethique et l'ingenieur ?) insertion pro (l'idee est surement bonne mais arrive trop tard dans la formation  adresser aux PEIPs) Allemand un vrai cours d'Allemand tout au long de la formation aurait ete utile (optionnel si besoin) mais le 'soupoudrage' qui est actuellement propose est une perte de temps qui ne permet meme pas d'entretenir son niveau.
Microelectronique Et Automatique (MEA),Applications mobiles du portable 
Sciences et Technologies de l'Eau (STE),Microbiologie
Eau et Genie Civil (EGC - apprentissage),L'hydraulique et le beton
Mecanique et Interactions (MI),Communication / insertion professionnelle 
Mecanique et Interactions (MI),Communication eco-conception espagnol
Mecanique et Interactions (MI),Aucun.
Mecanique et Interactions (MI),mathematiques 
Mecanique et Interactions (MI),Conception mecanique sciences economiques
Eau et Genie Civil (EGC - apprentissage),Les enseignements ont tous ete ou seront utiles d'une maniere ou d'une autre
Mecanique et Interactions (MI),Formation  l'utilOation de Google drive
Informatique et Gestion (IG),Aucune car elles apportent tous une dimension supplementaire dans notre comprehension de l'informatique ou du management et permet d'avoir une ouverture d'esprit.
Informatique et Gestion (IG),Graph
Informatique et Gestion (IG),Recherche operationnelle (100% inutile)
Informatique et Gestion (IG),Aucun
Informatique et Gestion (IG),Aucun cours ne m'a parus inutile 
Mecanique et Interactions (MI),Communication
Informatique et Gestion (IG),Intervenants 5eme annee 
Sciences et Technologies de l'Eau (STE),RAS
Sciences et Technologies de l'Eau (STE),Le cours hygiene et securite en 5A pas interactif pas interessant. 
Sciences et Technologies de l'Eau (STE),Actuellement les cours en ecologie mais j'espere dans l'avenir occuper un poste necessitant des connaissances en ecologie
Sciences et Technologies de l'Eau (STE),Je ne sais pas
Informatique et Gestion (IG),Les maths et les cours de marco
Eau et Genie Civil (EGC - apprentissage),Base de donnees Acces 
Eau et Genie Civil (EGC - apprentissage),RAS
Sciences et Technologies de l'Eau (STE),Aucuns. 
Informatique et Gestion (IG),Les cours NoSQL theorique de XML JSON etc. Pas besoin d'y basser des TDs entiers. 
Sciences et Technologies de l'Eau (STE),- Le cours sur les entreprises (avec le projet avec les differentes sections de l'ecole)
Sciences et Technologies de l'Eau (STE),Les enseignements de MAPinfo sur les outils informatiques n'apportent rien. Il y a aussi les cours de Mr Heran qui sont  revoir.
Informatique et Gestion (IG),Vraiment du mal  me souvenir des cours mais les cours qui me paraissent inutiles etaient juste mal enseignes selon moi. Les sujets restent interessants mais difficile d'y voir un interIt pour certains.
Eau et Genie Civil (EGC - apprentissage),Marketing
Sciences et Technologies de l'Eau (STE),Economie
Sciences et Technologies de l'Eau (STE),Auncun
Informatique et Gestion (IG),Aucun cour inutile car cela depend de ce que l'etudiant compte faire apres (cela peut Itre  chaque fois potentiellement utile)
Microelectronique Et Automatique (MEA),Je dirais qu'il y'avait pas de matieres inutiles. Toute les matieres m'ont aide  choisir ce que j'ai envie de faire. il y avait des matieres que je preferais mais ca reste des preferences qui sont differentes d'un etudiant  un autre
Microelectronique Et Automatique (MEA),Ondes (en tout cas pas comme cela m'a ete enseigne car la RF est un domaine passionnant) La robotique qui prend beaucoup trop de place 
Microelectronique Et Automatique (MEA),Ondes 
Microelectronique Et Automatique (MEA),Aucun enseignement n'est inutile  mon avis
Microelectronique Et Automatique (MEA),Il n'y a pas d'enseignements inutiles. Tout depend du projet professionnel que l'on a.
Eau et Genie Civil (EGC - apprentissage),Sans avis
Microelectronique Et Automatique (MEA),Enseignements techniques et sur l'insertion professionnelle 
Genie Biologique et Agroalimentaires (GBA),Aucun
Genie Biologique et Agroalimentaires (GBA),Genie genetique 
Microelectronique Et Automatique (MEA),ondes signaux
Genie Biologique et Agroalimentaires (GBA),Thermodynamique 
Genie Biologique et Agroalimentaires (GBA),/
Genie Biologique et Agroalimentaires (GBA),Tout ce qui est issu des sciences brutes ne sert en rien dans le monde professionnel OUTRE si poursuite en recherche (moins de 10% d'une promo). Immediatement oublie  la sortie de l'ecole.
Microelectronique Et Automatique (MEA),Robotique
Genie Biologique et Agroalimentaires (GBA),Codages informatiques
Genie Biologique et Agroalimentaires (GBA),L'espagnol
Microelectronique Et Automatique (MEA),Ondes
Genie Biologique et Agroalimentaires (GBA),Aucun
Systemes Embarques (SE - apprentissage),Qualite
Systemes Embarques (SE - apprentissage),Enjeux informationnels dans l entreprise 
Mecanique et Interactions (MI),Trop de SHEJS (droit economie des entreprises expression ecrite et orale...)
Materiaux (MAT),Communication ecrite  
Microelectronique Et Automatique (MEA),En rapport direct avec mon emploi les cours de robotique n'ont aucun interIt 
Systemes Embarques (SE - apprentissage),-...change  l'international )
Genie Biologique et Agroalimentaires (GBA),Enseignements pouvant Itre interessant dans la theorie mais contenu propose tres decevant : - Marketing - SST
Genie Biologique et Agroalimentaires (GBA),Rien n'est inutile on apprend toujours quelque chose
Sciences et Technologies de l'Eau (STE),Demarrer la specialisation un peu plus rapidement le fait de faire de l'ecologie et de la biologie est interessant et nous permet d'Itre polyvalent mais cela induit un manque de connaissance et d'approfondissement dans les autres domaines qui nous tiennent un peu plus  c&oeligur.
Materiaux (MAT),.
Materiaux (MAT),MSG
Materiaux (MAT),Question trop subjective par rapport  mon metier actuel.
Materiaux (MAT),Espagnol 
Materiaux (MAT),Aucun ils sont  mon avis tous des composants de la formation et mIme si beaucoup d'entre eux semblent inutiles pour le moment voire definitivement ils ont leur rule  jouer en elargissant la vision du monde et de la science des materiaux des etudiants.
Mecanique et Interactions (MI),aucun. Tous les enseignements dont je ne me sers pas sont pour moi de la culture generale et me permettent de comprendre et discuter avec mes collegues 
Mecanique et Interactions (MI),Eco conception
Microelectronique Et Automatique (MEA),Je sais pas 
Microelectronique Et Automatique (MEA),none
Microelectronique Et Automatique (MEA),Le swift si Aa existe encore. Pour le reste Aa reste interessant mIme si je ne m'en sert rarement: savoir que tel ou tel chose existe et pouvoir suivre un minimum est important.
Sciences et Technologies de l'Eau (STE),Aucun ne me semble inutile 
Mecanique et Interactions (MI),Tous les cours permettent d'avoir une panel de connaissance assez large et apprecie chez des entreprises. 
Genie Biologique et Agroalimentaires (GBA),Aucun chacun a eu le merite de nous eclairer sur des particularites propres  nos metiers d'ingenieurs.
Genie Biologique et Agroalimentaires (GBA),Aucun. Tout est utile !
Genie Biologique et Agroalimentaires (GBA),-
Genie Biologique et Agroalimentaires (GBA),J'ai change de voie professionnelle. Je travaille dans la communication et le marketing. Je ne peux donc pas repondre  cette question.
Materiaux (MAT),Il n'y a pas d'enseignements inutiles mais plutut pas assez approfondis. 
Materiaux (MAT),Physique statistique methode d'elements finis resistance des materiaux (formations pas assez concretes pour moi qui meritent d'Itre appliquees  des activites comme la modelisation 3D/CAO).
Microelectronique Et Automatique (MEA),Espagnol Electronique Filtrage.
Genie Biologique et Agroalimentaires (GBA),Je
Genie Biologique et Agroalimentaires (GBA),NSP
Informatique et Gestion (IG),Je ne pense pas qu'il y ait des enseignements inutiles tout est bon  prendre mais il est sur que certains cours meriteraient plus d'heures d'enseignement que d'autres.
Informatique et Gestion (IG),Math de la decision
Informatique et Gestion (IG),Mathematiques de la decision
Sciences et Technologies de l'Eau (STE),OFE Entrepreneuriat responsable
